,A,B,Δ
akiec,0.1728395061728395,0.21176470588235294,0.039
bcc,0.4074074074074074,0.42168674698795183,0.014
bkl,0.36507936507936506,0.366120218579235,0.001
df,0.0,0.0,0.0
mel,0.19081272084805653,0.21754385964912282,0.027
nv,0.8475909537856441,0.8496560759908287,0.002
vasc,0.0,0.0,0.0
