Model,Accuracy,Precision,Recall,F1-score,Mean AUC
SVM,0.7179,0.6588,0.7179,0.6536,0.9002
Decision Tree,0.6256,0.6253,0.6256,0.6254,0.6021
Random Forest,0.7134,0.6473,0.7134,0.6554,0.8656
Naive Bayes,0.4074,0.6911,0.4074,0.484,0.7363
